Rank,Keyword,Search Volume,Article Links
1,maduro,"5M+
arrow_upward
1,000%",
2,new year's eve,"5M+
arrow_upward
1,000%","https://www.politico.com/news/2026/01/03/trump-venezuela-oil-us-companies-return-00709782
https://www.cbsnews.com/news/venezuela-nicolas-maduro-cilia-flores-new-york-narco-terrorism/
https://www.nytimes.com/interactive/2026/01/03/world/americas/maduro-capture-venezuela-strikes-maps.html"
3,new year's day,"2M+
arrow_upward
1,000%","https://www.kcbd.com/2026/01/02/18-year-old-dead-after-accident-while-shooting-fireworks-new-years-day/
https://www.everythinglubbock.com/news/local-news/fatal-fireworks-injury-lubbock/
https://www.lubbockonline.com/story/news/local/2026/01/02/lubbock-police-lpd-confirms-18-year-old-killed-after-being-hit-in-head-by-a-firework-on-new-years/87995901007/"
4,ole miss vs georgia,"2M+
arrow_upward
1,000%","https://www.espn.com/college-football/story/_/id/47479635/kirby-smart-laments-4th-conversion-try-georgia-loss
https://edition.cnn.com/2026/01/02/sport/football-ncaa-cfp-sugar-bowl-ole-miss-defeats-georgia
https://sports.yahoo.com/college-football/breaking-news/article/heave-and-hope-how-ole-miss-pulled-off-one-of-the-wildest-college-football-playoff-wins-ever-075711186.html"
5,panthers vs buccaneers,"500K+
arrow_upward
1,000%","https://sports.yahoo.com/nfl/live/panthers-vs-buccaneers-score-live-updates-baker-mayfield-bryce-young-meet-in-clash-for-nfc-south-division-title-200013698.html
https://www.buccaneers.com/news/week-18-expert-picks-panthers-vs-buccaneers-2025
https://www.espn.com/espn/betting/story/_/id/47471213/nfl-week-18-odds-lines-spread-betting-picks-dfs-tips-saturday-football-preview-panthers-buccaneers-seahawks-49ers"
6,tommy lee jones,"500K+
arrow_upward
1,000%","https://www.sfchronicle.com/crime/article/tommy-lee-victoria-jones-overdose-conservatorship-21273499.php
https://www.nbcbayarea.com/news/local/woman-found-dead-sf-hotel/4006464/
https://pagesix.com/2026/01/03/celebrity-news/tommy-lee-jones-daughter-victoria-seen-doing-cocaine-before-death-report/"
7,tatiana schlossberg,"500K+
arrow_upward
1,000%","https://www.rollingstone.com/culture/culture-news/tatiana-schlossberg-dead-obituary-1235492387/
https://www.nytimes.com/2025/12/31/opinion/tatiana-schlossberg-death-kennedys.html
https://www.nbcnews.com/news/obituaries/tatiana-schlossberg-jfks-granddaughter-dead-35-terminal-cancer-diagnos-rcna245568"
8,swiss bar fire,"500K+
arrow_upward
100%","https://edition.cnn.com/2026/01/02/europe/how-swiss-club-fire-unfolded-vis-intl
https://www.nytimes.com/2026/01/03/world/europe/switzerland-fire-avoidable-hazards.html
https://www.aljazeera.com/news/2026/1/3/swiss-launch-criminal-investigation-over-deadly-fire-at-ski-resort-bar"
9,full moon january 2026,"200K+
arrow_upward
700%","https://www.theguardian.com/artanddesign/gallery/2026/jan/03/wolf-moon-supermoon-across-the-world-in-pictures
https://www.space.com/stargazing/the-1st-full-moon-of-2026-rises-tonight-heres-what-to-expect-from-januarys-supermoon-wolf-moon
https://www.cnn.com/2026/01/01/science/january-full-moon-quadrantid-meteor-shower"
10,jodi hildebrandt,"200K+
arrow_upward
500%","https://www.forbes.com/sites/monicamercuri/2026/01/03/where-is-jodi-hildebrandt-now-her-life-after-the-ruby-franke-child-abuse-case/
https://www.netflix.com/tudum/articles/evil-influencer-the-jodi-hildebrandt-story-explained
https://www.theguardian.com/tv-and-radio/2025/dec/30/evil-influencer-the-jodi-hildebrandt-story-review-netflix"
